Detailed Statistics Departures  
Origin Airport: Atlanta, GA: Hartsfield-Jackson Atlanta International (ATL)
Airline: JetBlue Airways (B6)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2022

Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"B6","01/16/2022","0696","N193JB","BOS","17:38","17:43","151","138","5","17:57","14","0","0","0","0","0"
"B6","01/16/2022","0720","N583JB","JFK","16:49","17:20","131","167","31","18:21","61","5","0","36","0","26"
"B6","01/16/2022","0920","N805JB","JFK","07:00","07:05","127","119","5","07:23","18","0","0","0","0","0"
"B6","01/16/2022","1320","N231JB","JFK","21:49","22:16","129","183","27","22:35","19","12","0","54","0","15"
"B6","01/16/2022","2606","N187JB","EWR","18:46","19:03","134","202","17","19:17","14","12","0","68","0","5"
"B6","01/17/2022","0396","N3077J","BOS","10:55","13:00","147","139","125","13:14","14","29","0","0","0","88"
"B6","01/17/2022","0467","N309JB","FLL","07:30","07:35","110","121","5","07:50","15","5","0","11","0","0"
"B6","01/17/2022","0520","N913JB","JFK","12:23","12:40","126","135","17","12:52","12","17","0","9","0","0"
"B6","01/17/2022","0696","N184JB","BOS","17:38","18:01","151","148","23","18:18","17","3","0","0","0","17"
"B6","01/17/2022","0720","N806JB","JFK","16:49","17:11","131","149","22","17:23","12","11","0","18","0","11"
"B6","01/17/2022","0920","N775JB","JFK","07:00","06:59","127","130","-1","07:16","17","0","0","0","0","0"
"B6","01/17/2022","1320","N228JB","JFK","21:49","21:54","129","130","5","22:10","16","0","0","0","0","0"
"B6","01/17/2022","2606","N187JB","EWR","18:46","20:08","134","126","82","20:24","16","8","0","0","0","66"
"B6","01/18/2022","0396","N3058J","BOS","10:55","22:27","147","138","692","22:46","19","683","0","0","0","0"
"B6","01/18/2022","0467","N198JB","FLL","07:30","07:29","110","135","-1","08:05","36","0","0","24","0","0"
"B6","01/18/2022","0520","N586JB","JFK","12:23","13:13","126","121","50","13:24","11","31","0","0","0","14"
"B6","01/18/2022","0720","N806JB","JFK","16:49","16:57","131","127","8","17:10","13","0","0","0","0","0"
"B6","01/18/2022","0920","N635JB","JFK","07:00","07:17","127","148","17","07:58","41","17","0","21","0","0"
"B6","01/18/2022","1320","N323JB","JFK","21:49","21:34","129","123","-15","21:49","15","0","0","0","0","0"
"B6","01/19/2022","0396","N3058J","BOS","10:55","10:48","147","150","-7","11:05","17","0","0","0","0","0"
"B6","01/19/2022","0467","N307JB","FLL","07:30","07:31","110","126","1","08:06","35","1","0","16","0","0"
"B6","01/19/2022","0520","N583JB","JFK","12:23","12:15","126","131","-8","12:30","15","0","0","0","0","0"
"B6","01/19/2022","0720","N635JB","JFK","16:49","16:42","131","139","-7","16:54","12","0","0","0","0","0"
"B6","01/19/2022","0920","N607JB","JFK","07:00","06:55","127","137","-5","07:15","20","0","0","0","0","0"
"B6","01/19/2022","1320","N284JB","JFK","21:49","21:43","129","126","-6","21:58","15","0","0","0","0","0"
"B6","01/20/2022","0396","N3062J","BOS","10:55","10:58","147","137","3","11:18","20","0","0","0","0","0"
"B6","01/20/2022","0467","N279JB","FLL","07:30","07:29","110","108","-1","07:47","18","0","0","0","0","0"
"B6","01/20/2022","0520","N638JB","JFK","12:23","12:13","126","118","-10","12:30","17","0","0","0","0","0"
"B6","01/20/2022","0696","N374JB","BOS","17:38","17:29","151","140","-9","17:42","13","0","0","0","0","0"
"B6","01/20/2022","0720","N656JB","JFK","16:49","16:44","131","126","-5","17:02","18","0","0","0","0","0"
"B6","01/20/2022","0920","N509JB","JFK","07:00","06:53","127","142","-7","07:06","13","0","0","0","0","0"
"B6","01/20/2022","1320","N351JB","JFK","21:49","21:41","129","117","-8","21:53","12","0","0","0","0","0"
"B6","01/20/2022","2606","N348JB","EWR","18:46","18:34","134","116","-12","18:46","12","0","0","0","0","0"
"B6","01/21/2022","0396","N229JB","BOS","10:55","16:53","147","127","358","17:10","17","332","0","0","0","6"
"B6","01/21/2022","0467","N281JB","FLL","07:30","07:28","110","131","-2","08:03","35","0","0","19","0","0"
"B6","01/21/2022","0520","N659JB","JFK","12:23","12:57","126","113","34","13:14","17","4","0","0","0","17"
"B6","01/21/2022","0696","N354JB","BOS","17:38","17:42","151","122","4","17:56","14","0","0","0","0","0"
"B6","01/21/2022","0720","N646JB","JFK","16:49","17:03","131","131","14","17:41","38","0","0","0","0","0"
"B6","01/21/2022","0920","N554JB","JFK","07:00","07:03","127","149","3","07:16","13","3","0","22","0","0"
"B6","01/21/2022","1320","N375JB","JFK","21:49","21:53","129","124","4","22:13","20","0","0","0","0","0"
"B6","01/21/2022","2606","N339JB","EWR","18:46","18:45","134","111","-1","18:59","14","0","0","0","0","0"
"B6","01/22/2022","0396","N3062J","BOS","10:55","12:44","147","133","109","12:58","14","6","0","0","0","89"
"B6","01/22/2022","0467","N249JB","FLL","07:30","07:22","110","107","-8","07:33","11","0","0","0","0","0"
"B6","01/22/2022","0520","N703JB","JFK","12:23","12:14","126","123","-9","12:31","17","0","0","0","0","0"
"B6","01/22/2022","0720","N509JB","JFK","16:49","16:57","131","131","8","17:10","13","0","0","0","0","0"
"B6","01/22/2022","0920","N789JB","JFK","07:00","06:55","127","122","-5","07:08","13","0","0","0","0","0"
"B6","01/22/2022","1320","N239JB","JFK","21:49","21:35","129","137","-14","21:50","15","0","0","0","0","0"
"B6","01/23/2022","0396","N3065J","BOS","10:55","10:58","147","148","3","11:17","19","0","0","0","0","0"
"B6","01/23/2022","0467","N307JB","FLL","07:30","07:29","110","130","-1","08:07","38","0","0","19","0","0"
"B6","01/23/2022","0520","N592JB","JFK","12:23","12:21","126","121","-2","12:42","21","0","0","0","0","0"
"B6","01/23/2022","0696","N193JB","BOS","17:38","17:56","151","140","18","18:12","16","0","0","0","0","0"
"B6","01/23/2022","0720","N659JB","JFK","16:49","17:06","131","121","17","17:18","12","0","0","0","0","0"
"B6","01/23/2022","0920","N606JB","JFK","07:00","06:57","127","130","-3","07:11","14","0","0","0","0","0"
"B6","01/23/2022","1320","N329JB","JFK","21:49","21:41","129","159","-8","21:58","17","0","0","22","0","0"
"B6","01/23/2022","2606","N258JB","EWR","18:46","18:38","134","140","-8","18:55","17","0","0","0","0","0"
"B6","01/24/2022","0396","N3077J","BOS","10:55","10:57","147","136","2","11:11","14","0","0","0","0","0"
"B6","01/24/2022","0467","N373JB","FLL","07:30","07:22","110","130","-8","07:57","35","0","0","0","0","0"
"B6","01/24/2022","0520","N547JB","JFK","12:23","12:35","126","122","12","12:46","11","0","0","0","0","0"
"B6","01/24/2022","0696","N279JB","BOS","17:38","17:29","151","144","-9","17:41","12","0","0","0","0","0"
"B6","01/24/2022","0720","N659JB","JFK","16:49","16:44","131","134","-5","17:05","21","0","0","0","0","0"
"B6","01/24/2022","0920","N585JB","JFK","07:00","06:56","127","122","-4","07:10","14","0","0","0","0","0"
"B6","01/24/2022","1320","N329JB","JFK","21:49","21:42","129","132","-7","21:59","17","0","0","0","0","0"
"B6","01/24/2022","2606","N283JB","EWR","18:46","18:46","134","133","0","19:00","14","0","0","0","0","0"
"B6","01/25/2022","0396","N3044J","BOS","10:55","11:15","147","135","20","11:32","17","0","0","0","0","0"
"B6","01/25/2022","0467","N318JB","FLL","07:30","07:29","110","104","-1","07:43","14","0","0","0","0","0"
"B6","01/25/2022","0520","N662JB","JFK","12:23","12:15","126","117","-8","12:30","15","0","0","0","0","0"
"B6","01/25/2022","0720","N768JB","JFK","16:49","17:11","131","121","22","17:29","18","0","0","0","0","0"
"B6","01/25/2022","0920","N627JB","JFK","07:00","06:50","127","151","-10","07:27","37","0","0","0","0","0"
"B6","01/25/2022","1320","N274JB","JFK","21:49","21:34","129","121","-15","21:52","18","0","0","0","0","0"
"B6","01/26/2022","0396","N3058J","BOS","10:55","10:45","147","133","-10","11:04","19","0","0","0","0","0"
"B6","01/26/2022","0467","N247JB","FLL","07:30","07:27","110","110","-3","07:45","18","0","0","0","0","0"
"B6","01/26/2022","0520","N592JB","JFK","12:23","13:03","126","111","40","13:15","12","0","0","0","0","25"
"B6","01/26/2022","0720","N648JB","JFK","16:49","16:46","131","119","-3","16:57","11","0","0","0","0","0"
